chant_type,mode,incipit,page
introitus,4,Accipite iucunditatem,243
introitus,7,Adorate Deum,264
introitus,6,Cantate Domino,225
introitus,3,Cartas Dei,248
introitus,2,Cibriteos,377
introitus,5,Circumdederunt me . . . ri,17
introitus,2,Clamaverunt iusti,450
introitus,5,Cogitationes Cordis eius —,384
introitus,3,Cognovi Domine . . . . $,25
introitus,3,Confessio . . . . . . S,86
introitus,1,De ventre matris mez,570
introitus,3,"Deus, dum egredereris",244
introitus,4,"Deus, in nomine tuo",116
introitus,6,Dicit Dominus: Ego,366
introitus,4,Dicit Dominus Petro,573
introitus,3,Dignusest Agnus,388
introitus,8,Dilexisti,498
introitus,3,"Dispersit, dedit pauperibus",519
introitus,5,"Domine, in tua misericordia",278
introitus,8,"Domine, nelonge facias",132
introitus,5,"Domine, refugium",79
introitus,2,Dominusfortitudoplebissum,294
introitus,2,Dominus illuminatio mea,288
introitus,1,Dominus secus mare,264
introitus,3,Dumclamarem,303
introitus,8,Dum medium silentium. . ^,53
introitus,3,Dum sanctificatus fuero,249
introitus,2,Ecceadvenit,56
introitus,5,Ecce Deus adiuvat me,307
introitus,3,Ecce oculi Domini,439
introitus,7,Eduxit Dominus,214
introitus,1,Ego autem cum iustitia,94
introitus,3,Egoautem sicutoliva,424
introitus,3,Egoclamavi,354
introitus,6,Eso mii,275
introitus,1,Etenim sederunt principes,632
introitus,2,Exoreinfanium,638
introitus,4,"Exaudi, Domine...adiutor",291
introitus,1,"Exaudi, Domine... tibi dixit",241
introitus,7,"Exaudi nos, Domine",69
introitus,4,Exaudivit,239
introitus,1,Excdamaverunt,559
introitus,7,Exspecta Dominum,126
introitus,6,Exsultate Deo,311
introitus,2,"Exsurge, Domine",106
introitus,2,"Fac mecum, Domine",105
introitus,1,Factusest Dominus,281
introitus,1,Gaudeamus... Agathm,545
introitus,1,Gaudeamus... Benedicti,869
introitus,1,Gaudeamus ... Maria: ... fes- tivitate vel solernnitate,405
introitus,1,Gaudeamus ... Sanctorum omnium,619
introitus,5,Gaudens gaudebo,628
introitus,1,Gaudete in Domino,21
introitus,6,Hodie scietis,38
introitus,3,In Deo laudabo,000
introitus,8,In excelso throno,257
introitus,6,In medio Ecclesire,493
introitus,3,In nomine Domini,155
introitus,3,In nomine Iesu,582
introitus,7,In virtute tua ... iustus,473
introitus,7,In virtute tua ... rex,523
introitus,4,In voluntate tua,346
introitus,,Inclina Domine,326
introitus,3,Intret oratio mea,363
introitus,8,Introduxit vos,200
introitus,8,Invocabit me,71
introitus,8,Jubilate Deo,219
introitus,4,"Iudica, Domine",150
introitus,4,"Iudica me, Deus",120
introitus,1,udicant sancti,425
introitus,6,Iusti epulentur,450
introitus,1,"ustus es, Domine",33
introitus,1,Iustus ut palma,508
introitus,8,Lretabitur iustus,473
introitus,5,Lretare Jerusalem,00
introitus,2,"Lretetur cor . .268,357 Laudate, pueri",522
introitus,1,Lex Domini,86
introitus,3,Liberator meus,128
introitus,5,Loquebar,526
introitus,3,Loquetur Dominus pacem,3
introitus,8,Lux fulgebit,44
introitus,2,Me exspectaverunt,498
introitus,1,Meditatio cordis mei,103
introitus,1,Memento nostri,29
introitus,2,Mihi autem nimis,425
introitus,8,Miserere ... ad te,33
introitus,3,Miserere ... conculcavit,125
introitus,5,Miserere ... tribulor,130
introitus,,Misereris omnium,62
introitus,4,Misericordia Domini,222
introitus,2,Multre tribulationes,451
introitus,7,Ne derelinquas me,360
introitus,7,Ne timeas,568
introitus,4,Nos autem gloriari,162
introitus,3,Nunc scio vere,575
introitus,7,Oculi mei,96
introitus,6,Ornnes gentes,297
introitus,,Omnia qua: fecisti,342
introitus,4,Omnis terra,260
introitus,6,Os iusti,494
introitus,7,Populus Sion,08
introitus,7,"Probasti, Domine",474
introitus,4,Prope es tu,24
introitus,4,Protector noster,3
introitus,7,Protexisti me,442
introitus,7,Puer natus est nobis,47
introitus,6,Quasi modo,216
introitus,3,Redemisti nos,659
introitus,2,Redime me,91
introitus,4,Reminiscere,80
introitus,3,Repleatur os meum,246
introitus,6,Requiem reternam,669
introitus,7,"Respice, Domine",319
introitus,6,Respice in me,284
introitus,4,Resurrexi,196
introitus,,Rorate . . Ps,84
introitus,,Benedixisti,403
introitus,,Rorate .. Ps,08
introitus,,: Creli enar- rant,34
introitus,6,Sacerdotes Dei,447
introitus,2,Sacerdotes eius,448
introitus,3,Sacerdotes tui,485
introitus,1,Salus autem,451
introitus,4,Salus populi,339
introitus,2,"Salve, sancta Parens",403
introitus,3,Sancti tui,440
introitus,,Sapientiam sanctorum,452
introitus,1,Scio cui credidi,535
introitus,3,Si iniquitates,350
introitus,4,Sicut oculi servorum,77
introitus,7,Signum magnum,5
introitus,2,Sitientes,114
introitus,8,Spiritus Domini,252
introitus,1,Stabant iuxta crucem,600
introitus,1,Statuit ei Dominus,445
introitus,1,Suscepimus,3
introitus,2,Terribilis est locus iste,39
