CLAUDE DO NOT EDIT! THESE ARE CORRECT!

chant_type,mode,incipit,page
introitus,4,Accipite iucunditatem,243
introitus,8,Ad te levavi,15
introitus,7,Adorate Deum,264
introitus,7,Aqua sapientie,202
introitus,7,Audivit Dominus,68
introitus,3,Benedicite Dominum,607
introitus,8,Benedicta sit,371
introitus,6,Cantate Domino,225
introitus,5,Cantemus Domino,864
introitus,3,Caritas Dei,248
introitus,2,Cibaviteos,377
introitus,5,Circumdederunt me,117
introitus,2,Clamaverunt iusti,450
introitus,5,Cogitationes Cordis eius,384
introitus,3,Confessio,586
introitus,1,Da pacem,336
introitus,4,De necessitatibus meis,84
introitus,1,De ventre matris meae,570
introitus,3,"Deus, dum egredereris",244
introitus,7,"Deus, in adiutorium",315
introitus,5,Deus in loco sancto suo,310
introitus,4,"Deus,in nomine tuo",116
introitus,6,Dicit Dominus: Ego,366
introitus,4,Dicit Dominus Petro,573
introitus,1,Dicit Dominus: Sermones mei,398
introitus,1,Dicit Dominus: Sermones mei,624
introitus,3,Dignusest Agnus,388
introitus,8,Dilexiti,498
introitus,3,"Dispersit, dedit pauperibus",519
introitus,5,"Domine, in tua misericordia",278
introitus,8,"Domine, ne longe facias",132
introitus,5,"Domine,refugum",79
introitus,2,Dominus dixit,41
introitus,2,Dominus fortitudo plebis suae,294
introitus,2,Dominus illuminatio mea,288
introitus,1,Dominus secus mare,264
introitus,3,Dum clamarem,303
introitus,8,Dum medium silenium,53
introitus,3,Dum sanctificatus fuero,249
introitus,2,Ecce advenit,56
introitus,5,Ecce Deus adiuvat me,307
introitus,3,Ecce oculi Domini,439
introitus,7,Eduxit Dominus,214
introitus,4,Eduxit eos,211
introitus,1,Ego autem cum iustitia,94
introitus,1,Ego autem in Domino speravi,111
introitus,3,Ego autem sicut oliva,424
introitus,3,Ego clamavi,354
introitus,6,Esto mihi,275
introitus,1,Etenim sederunt principes,632
introitus,2,Exore infantium,638
introitus,5,"Exaudi, Deus, orationem meam",115
introitus,4,"Exaudi, Domine... adiutor",291
introitus,1,"Exaudi, Domine... tibi dixit",241
introitus,7,"Exaudi nos, Domine",69
introitus,4,Exaudivit,239
introitus,1,Exclaamaverunt,559
introitus,7,Exspecta Dominum,126
introitus,6,Exsultate Deo,311
introitus,2,"Exsurge, Domine",106
introitus,1,"Exsurge, quare obdormis",91
introitus,2,"Fac mecum, Domine",105
introitus,1,Factus est Dominus,281
introitus,1,Gaudeamus... Agathe,545
introitus,1,Gaudeamus... Benedicti,869
introitus,1,Gaudeamus... Mariae... Assumptione,591
introitus,1,Gaudeamus... Mariae... festivitate vel solemnitate,405
introitus,1,Gaudeamus... Sanctorum omnium,619
introitus,5,Gaudens gaudebo,628
introitus,1,Gaudete in Domino,21
introitus,6,Hodie scietis,38
introitus,3,In Deo laudabo,100
introitus,8,In excelso throno,257
introitus,6,In medio Ecclesie,493
introitus,3,In nomine Domini,155
introitus,3,Innomine lesu,582
introitus,7,In virtute tua... iustus,473
introitus,7,In virtute tua... rex,523
introitus,4,In voluntate tua,346
introitus,1,Incdina Domine,326
introitus,3,Intret oratio mea,363
introitus,8,Introduxit vos,200
introitus,8,Invocabit me,71
introitus,8,Iubilatee Deo,219
introitus,4,"Iudica, Domine",510
introitus,4,"Iudica me, Deus",120
introitus,7,Iudicant sancti,425
introitus,6,Iusi epulentur,450
introitus,1,"Iustus es, Domine",332
introitus,1,Iustus ut plma,508
introitus,8,Latabitur iustus,473
introitus,5,Laetare lerusalem,108
introitus,2,Laetetur cor,268
introitus,2,Laetetur cor,357
introitus,1,"Laudate,pueri",522
introitus,1,Lex Domini,86
introitus,3,Liberator meus,128
introitus,5,Loqubar,526
introitus,3,Loquetur Dominus pacem,369
introitus,8,Lux fulgebit,44
introitus,2,Me exspectaverunt,498
introitus,1,Meditatio cordis mei,103
introitus,1,Mementonosti,29
introitus,2,Mihi autem nimis,425
introitus,8,Miserere ad te,330
introitus,3,Miserere conculcavit,125
introitus,5,Miserere tribulor,130
introitus,1,Misereris omnium,62
introitus,4,Misericordia Domini,222
introitus,2,Multae tribulationes,451
introitus,7,Ne derelinquas me,360
introitus,7,Ne timeas,568
introitus,4,Nos autem gloriai,162
introitus,3,Nunc scio vere,575
introitus,7,Oculi mei,96
introitus,6,Omnes gentes,297
introitus,3,Omnia quae fecisti,342
introitus,4,Omnis terra,260
introitus,6,Os iusti,494
introitus,7,Populus Sion,18
introitus,7,"Probasti, Domine",474
introitus,4,Prope es tu,24
introitus,4,Protector noster,323
introitus,7,Protexisti me,442
introitus,7,Puer natus est nobis,47
introitus,6,Quasi modo,216
introitus,3,Redemisti nos,659
introitus,2,Redime me,91
introitus,4,Reminiscere,81
introitus,3,Repleatur os meum,246
introitus,6,Requiem eternam,669
introitus,7,"Respice, Domine",319
introitus,6,Respice in me,284
introitus,4,Resurrexi,196
introitus,1,Rorate... Ps 84: Benedixisti,403
introitus,1,Rorate... Ps 18: Caeli enarrant,34
introitus,6,Sacerdotes Dei,447
introitus,2,Sacerdotes eius,448
introitus,3,Sacerdotes tui,485
introitus,1,Salus autem,451
introitus,4,Salus popui,339
introitus,2,"Salve,sancta Parens",403
introitus,3,Sanci tui,440
introitus,1,Sapientiam sanctorum,452
introitus,1,Scio cui credidi,535
introitus,3,Si iniquitates,350
introitus,4,Sicut oculi servorum,77
introitus,7,Signum magnum,590
introitus,2,Sitientes,114
introitus,8,Spiritus Domini,252
introitus,1,Stabant iuxta crucem,600
introitus,1,Statuit ei Dominus,445
introitus,1,Suscepimus,300
introitus,1,Suscepimus,543
introitus,2,Terribilis est locus iste,397
introitus,3,Tibi dixit cor meum,88
introitus,3,Timete Dominum,453
introitus,2,Veniet ostende nobis,27
introitus,2,"Venite, adoremus",271
introitus,7,"Venite, benedicti",205
introitus,1,Verba mea,83
introitus,8,Victicem manum,208
introitus,8,Vir Dei Benedictus,861
introitus,7,Viri Galilei,235
introitus,3,Vocem iucunditatis,229
introitus,2,Vulum tuum,404
