id,page_idx,column,bbox_x1,bbox_y1,bbox_x2,bbox_y2,chant_type,mode,incipit,page
4,1,left,94,389,515,413,introitus,4,Accipite iucunditatem,243
5,1,left,96,419,515,444,introitus,8,Ad te levavi,15
6,1,left,95,449,516,474,introitus,7,Adorate Deum,264
7,1,left,95,480,515,503,introitus,7,Aqua sapientiae,202
8,1,left,95,510,516,534,introitus,7,Audivit Dominus,68
9,1,left,95,570,516,594,introitus,3,Benedicite Dominum,607
10,1,left,96,600,514,624,introitus,8,Benedicta sit,371
11,1,left,94,660,516,685,introitus,6,Cantate Domino,225
12,1,left,95,690,517,715,introitus,5,Cantemus Domino,864
13,1,left,95,721,516,745,introitus,3,Caritas Dei,248
14,1,left,95,750,516,775,introitus,2,Cibavit eos,377
15,1,left,95,781,516,806,introitus,5,Circumdederunt me,117
16,1,left,95,811,449,831,introitus,2,Clamaverunt iusti,450
17,1,left,95,841,517,866,introitus,5,Cogitationes Cordis eius,384
18,1,left,95,871,516,896,introitus,3,"Cognovi, Domine",525
19,1,left,95,901,517,926,introitus,3,Confesio,586
20,1,left,97,962,518,986,introitus,1,Da pacem,336
21,1,left,95,991,518,1016,introitus,4,De necessitatibus meis,84
22,1,left,97,1022,518,1046,introitus,1,De ventre matris meae,570
23,1,left,95,1051,518,1076,introitus,3,"Deus, dum egredereris",244
24,1,left,95,1082,517,1106,introitus,7,"Deus, in adiutorium",315
25,1,left,96,1112,519,1137,introitus,5,Deus in loco sancto suo,310
26,1,left,95,1142,519,1166,introitus,4,"Deus, in nomine tuo",116
27,1,left,96,1172,519,1197,introitus,6,Dicit Dominus: Ego,366
28,1,left,95,1202,519,1226,introitus,4,Dicit Dominus Petro,573
29,1,left,98,1232,451,1252,introitus,1,Dicit Dominus : Sermones mei,398
29,1,left,98,1232,451,1252,introitus,1,Dicit Dominus : Sermones mei,624
31,1,left,97,1292,519,1316,introitus,3,Dignus est Agnus,388
32,1,left,97,1322,519,1347,introitus,8,Dilexiti,498
33,1,left,97,1352,521,1377,introitus,3,"Dispersit, dedit pauperibus",519
34,1,left,97,1383,520,1407,introitus,5,"Domine, in tua misericordia",278
35,1,left,98,1412,520,1437,introitus,8,"Domine, ne longe facias",132
36,1,left,98,1443,521,1467,introitus,5,"Domine, refugum",79
37,1,left,97,1472,518,1496,introitus,2,Dominus dixit,41
39,1,right,554,328,977,353,introitus,2,Dominus fortitudo plebis suae,294
40,1,right,553,358,976,379,introitus,2,Dominus illuminatio mea,288
41,1,right,556,388,977,413,introitus,1,Dominus secus mare,264
42,1,right,554,419,976,443,introitus,3,Dum clamarem,303
43,1,right,555,449,976,473,introitus,8,Dum medium silentium,53
44,1,right,554,479,977,503,introitus,3,Dum sanctificatus fuero,249
45,1,right,554,539,978,564,introitus,2,Ecce advenit,56
46,1,right,555,569,977,594,introitus,5,Ecce Deus adiuvat me,307
47,1,right,554,599,977,624,introitus,3,Ecce oculi Domini,439
48,1,right,554,630,977,654,introitus,7,Eduxit Dominus,214
49,1,right,554,660,908,684,introitus,4,Eduxiteos,211
50,1,right,556,690,977,714,introitus,1,Ego autem cum iustitia,94
51,1,right,556,720,910,745,introitus,1,Ego autem in Domino speravi,111
53,1,right,555,780,978,805,introitus,3,Ego autem sicut oliva,424
54,1,right,555,811,978,835,introitus,3,Ego clamavi,354
55,1,right,555,841,976,865,introitus,6,Esto mihi,275
56,1,right,557,871,978,895,introitus,1,Etenim sederunt principes,632
57,1,right,555,901,978,924,introitus,2,Ex ore infantium,638
58,1,right,556,930,911,956,introitus,5,"Exaudi, Deus, orationem meam",115
60,1,right,556,991,977,1015,introitus,4,"Exaudi, Domine adiutor",291
61,1,right,558,1021,977,1045,introitus,1,"Exaudi, Domine tibi dixit",241
62,1,right,556,1051,979,1076,introitus,7,"Exaudi nos, Domine",69
63,1,right,556,1082,980,1106,introitus,4,Exaudivit,239
64,1,right,559,1112,980,1135,introitus,1,Exclaamaverunt,559
65,1,right,557,1141,980,1166,introitus,7,Exspecta Dominum,126
66,1,right,557,1172,977,1194,introitus,6,Exsultate Deo,311
67,1,right,557,1201,981,1226,introitus,2,"Exsurge, Domine",106
68,1,right,559,1231,978,1256,introitus,1,"Exsurge, quare obdormis",91
69,1,right,558,1291,980,1315,introitus,2,"Fac mecum, Domine",105
70,1,right,560,1321,979,1342,introitus,1,Factus est Dominus,281
71,1,right,560,1381,981,1406,introitus,1,Gaudeamus Agathe,545
72,1,right,560,1412,982,1435,introitus,1,Gaudeamus Benedicti,869
73,1,right,561,1442,915,1462,introitus,1,Gaudeamus Mariae Assumptione,591
75,2,left,98,115,450,135,introitus,1,Gaudeamus Mariae festivitate vel solemnitate,405
77,2,left,98,174,451,195,introitus,1,Gaudeamus Sanctorum omnium,619
79,2,left,96,235,517,260,introitus,5,Gaudens gaudebo,628
80,2,left,99,265,516,285,introitus,1,Gaudete in Domino,21
81,2,left,97,326,517,350,introitus,6,Hodie scietis,38
82,2,left,97,386,518,410,introitus,3,In Deo laudabo,100
83,2,left,97,417,518,440,introitus,8,In excelso throno,257
84,2,left,97,446,517,471,introitus,6,In medio Ecclesiae,493
85,2,left,98,477,451,501,introitus,3,In nomine Domini,155
86,2,left,97,507,517,531,introitus,3,In nomine Iesu,582
87,2,left,97,537,517,560,introitus,7,In virtute tua iustus,473
88,2,left,98,567,517,591,introitus,7,In virtute tua rex,523
89,2,left,97,597,519,621,introitus,4,In voluntate tua,346
90,2,left,99,627,518,651,introitus,1,Inclina Domine,326
91,2,left,98,657,517,681,introitus,3,Intret oratio mea,363
92,2,left,98,687,518,707,introitus,8,Introduxit vos,200
93,2,left,98,717,516,741,introitus,8,Invocabit me,71
94,2,left,99,748,519,771,introitus,8,Iubilate Deo,219
95,2,left,97,778,519,802,introitus,4,"Iudica, Domine",150
96,2,left,97,808,519,831,introitus,4,"Iudica me, Deus",120
97,2,left,98,838,518,862,introitus,7,Iudicant sancti,425
98,2,left,98,868,519,892,introitus,6,Iusi epulentur,450
99,2,left,100,898,518,922,introitus,1,"Iustus es, Domine",332
100,2,left,100,928,519,953,introitus,1,Iustus ut palma,508
